Epoque: 2.41 [58/140 (41%)]	Loss: 0.1949	Error: 4.659
Epoque: 2.41 [59/140 (41%)]	Loss: 0.1914	Error: 4.811
Epoque: 2.42 [60/140 (42%)]	Loss: 0.1884	Error: 4.620
Epoque: 2.43 [61/140 (43%)]	Loss: 0.1871	Error: 4.878
Epoque: 2.44 [62/140 (44%)]	Loss: 0.1631	Error: 4.157
Epoque: 2.44 [63/140 (44%)]	Loss: 0.1779	Error: 4.628
Epoque: 2.45 [64/140 (45%)]	Loss: 0.1719	Error: 4.735
Epoque: 2.46 [65/140 (46%)]	Loss: 0.1838	Error: 4.705
Epoque: 2.46 [66/140 (46%)]	Loss: 0.1799	Error: 4.340
Epoque: 2.47 [67/140 (47%)]	Loss: 0.1717	Error: 4.335
Epoque: 2.48 [68/140 (48%)]	Loss: 0.1712	Error: 4.351
Epoque: 2.49 [69/140 (49%)]	Loss: 0.1831	Error: 4.666
Epoque: 2.49 [70/140 (49%)]	Loss: 0.1799	Error: 4.870
Epoque: 2.50 [71/140 (50%)]	Loss: 0.1749	Error: 4.818
Epoque: 2.51 [72/140 (51%)]	Loss: 0.1793	Error: 4.736
Epoque: 2.51 [73/140 (51%)]	Loss: 0.1709	Error: 4.468
Epoque: 2.52 [74/140 (52%)]	Loss: 0.1862	Error: 4.940
Epoque: 2.53 [75/140 (53%)]	Loss: 0.1728	Error: 4.671
Epoque: 2.54 [76/140 (54%)]	Loss: 0.1735	Error: 4.427
Epoque: 2.54 [77/140 (54%)]	Loss: 0.1684	Error: 4.376
Epoque: 2.55 [78/140 (55%)]	Loss: 0.2054	Error: 5.079
